# Scan Name:	20210614_SnO2_H2_TPR
# Run Number:	15
# Session Id:	378
# Trajectory Name:	Sn_EXAFS_92.tra
# First Scan Create Date:	6/14/2021 4:33:52 PM
# This Scan Create Date:	6/14/2021 4:58:34 PM
# Encoder Resolution:	87466.6666666667
# Encoder Offset:	21.1068268887761
# Lattice Spacing:	1.9202
# Analog In 1 Offset:	-2151695974.4
# Analog In 2 Offset:	-2151147110.4
# Analog In 3 Offset:	-2152253030.4
# Analog In 4 Offset:	-2151748403.2
# Analog In 5 Offset:	-2763794022.4
# Analog In 6 Offset:	-2764287180.8
# Analog In 7 Offset:	-2763074764.8
# Analog In 8 Offset:	-2763220582.4
# Encoder	Energy	ADC_01	ADC_02	ADC_03	ADC_04	ADC_05	ADC_06	ADC_07	ADC_08
-1288004	29047.602082496	183769122.6	473559102.6	542597234.6	256681.800000191	-65479.4000000954	60077.1999998093	-44478.8000001907	14316.5999999046
-1288010	29047.9130552765	184271968.6	473848391.6	542718477.6	-326623.199999809	-58418.4000000954	67378.1999998093	-37262.8000001907	20124.5999999046
-1288015	29048.1722043784	183924668.6	472691300.6	542147557.6	-90571.1999998093	-66878.4000000954	58024.1999998093	-44892.8000001907	11520.5999999046
-1288022	29048.535020938	184333530.6	473425828.6	542275026.6	55424.8000001907	-50146.4000000954	75235.1999998093	-27751.8000001907	28349.5999999046
-1288027	29048.7941812071	184302546.6	473206519.6	542244646.6	53630.8000001907	-69558.4000000954	55441.1999998093	-49135.8000001907	7460.59999990463
-1288033	29049.1051796722	183964233.6	472788439.6	541258202.6	55453.8000001907	-52063.4000000954	73032.1999998093	-31819.8000001907	24813.5999999046
-1288039	29049.4161848383	183971415.6	474006788.6	542728894.6	-112733.199999809	-72934.4000000954	54057.1999998093	-50408.8000001907	7097.59999990463
-1288044	29049.6753609288	183831492.6	473187362.6	542754305.6	330269.800000191	-48831.4000000954	76408.1999998093	-27148.8000001907	29631.5999999046
-1288050	29049.9863783803	184077390.6	472569094.6	541626141.6	68751.8000001907	-71749.4000000954	53357.1999998093	-51180.8000001907	5620.59999990463
-1288056	29050.2974025333	183715952.6	472523572.6	540907157.6	-61224.1999998093	-52198.4000000954	72413.1999998093	-31679.8000001907	25785.5999999046
